size,pronoun,PD-PD_slope,PD-PD_intercept,PD-PD_std_err,PD-PD_CI_lower,PD-PD_CI_upper,PD-PD_r_value,PD-PD_p_value,PD-PD_R2,PD-PD_RMSE,DO-PD_slope,DO-PD_intercept,DO-PD_std_err,DO-PD_CI_lower,DO-PD_CI_upper,DO-PD_r_value,DO-PD_p_value,DO-PD_R2,DO-PD_RMSE
7b,True,-0.020440600879345135,0.39180546899878443,0.01627388007318902,-0.06674531808373545,0.025864116325045178,-0.27039625882493074,0.2235774364454952,0.07311413678651968,0.014982211636725803,-0.08566888784564783,0.22855589461088632,0.014200755082329378,-0.12607486019021452,-0.04526291550108114,-0.8033361473867908,6.74248390331545e-06,0.6453489656982516,0.013073631923543874
7b,False,-0.026177787683238272,0.807082199479933,0.026547541547632992,-0.10171456184566824,0.04935898647919169,-0.21532041468105373,0.33587766854422374,0.04636288097842023,0.018950419718738433,-0.11098252604626464,0.6266965148059759,0.05919731337974052,-0.2794189925177426,0.05745394042521333,-0.38661759953540736,0.07550187774940831,0.14947316827052048,0.042256791754330836
7b-chat,True,-0.011973052241376686,0.41261590335954285,0.01924124014515809,-0.06672091689174678,0.04277481240899341,-0.1378138759135894,0.5408010073344125,0.01899266439432623,0.017771740296948828,-0.0952999091389658,0.2634879131669158,0.017879571255379447,-0.14617336322568103,-0.04442645505225058,-0.7660691620157751,3.233509310841611e-05,0.5868619609915515,0.016514065339564645
7b-chat,False,-0.01317252417251664,0.7879799519108976,0.03591717729247529,-0.11536909498589065,0.08902404664085736,-0.08173279362253072,0.7176591011612579,0.006680249553343343,0.023922965465116273,-0.10182273743257336,0.60466088373646,0.06571382794748255,-0.2888009015729869,0.08515542670784013,-0.3273822770017282,0.1369443656108811,0.10717915529483646,0.043769298009327946
13b,True,-0.0588673782405413,0.434132046679869,0.019054987125520173,-0.1130852897780698,-0.004649466703012806,-0.5683699684055966,0.005782910208944579,0.3230444209853789,0.017663290583094654,-0.09862056375883657,0.256004404569388,0.012386823993790177,-0.13386528594638397,-0.06337584157128916,-0.8718719438022084,1.2551952513444803e-07,0.7601606863894417,0.011482142190006442
13b,False,-0.06646235103913363,0.8585612046574296,0.034087160151786304,-0.16345190141253305,0.030527199334265787,-0.399651581660494,0.06536274420922158,0.15972138672373415,0.019161958868210507,-0.17745102088567288,0.6847876032050413,0.0739386213597505,-0.3878315163267231,0.03292947455537734,-0.4728627878852072,0.02625012236656653,0.22359921616657052,0.04156429620299368
