size,prime_verb,pd_bias,pd_bias_ratio,DO-DO,DO-PD,PD-DO,PD-PD
7b,BRING,0.3994484524469009,1.0244739307708295,0.626671917869312,0.3733280821306882,0.43906447743087457,0.5609355225691254
7b,DRAW,0.6512443839243941,0.9806783726545603,0.653914965183864,0.3460850348161359,0.4022932600799581,0.5977067399200419
7b,FIND,0.45679088949780566,1.0089707675003374,0.6563290370846044,0.34367096291539573,0.39950151520689003,0.6004984847931101
7b,GET,0.3560184291290963,1.0252878515863242,0.6665088194474709,0.3334911805525292,0.41886169150739716,0.5811383084926028
7b,GIVE,0.26070186727958583,1.0582485468004639,0.5778035772318219,0.42219642276817826,0.40282426492456874,0.5971757350754313
7b,KEEP,0.6558695675456072,0.9788564858198454,0.6624322481956593,0.33756775180434084,0.4057817359710161,0.594218264028984
7b,LEAVE,0.5133272384475933,0.9997201597467301,0.62553840087298,0.37446159912702,0.4133320554926486,0.5866679445073514
7b,MAKE,0.5081106443200345,1.0017286388244113,0.6111445205292947,0.3888554794707053,0.40056473479413857,0.5994352652058614
7b,PURCHASE,0.7562324865601094,0.9632789222349759,0.622323023268715,0.37767697673128486,0.42005143361366293,0.5799485663863371
7b,SAVE,0.5174615650694496,0.9986405802597305,0.6282795892199402,0.3717204107800598,0.40412185053954947,0.5958781494604506
7b,SELL,0.4597206498879503,1.0104977237846915,0.6015970185531907,0.39840298144680925,0.4150239759276507,0.5849760240723494
7b,SEND,0.37246430540823927,1.0276769535255963,0.6044240326523951,0.3955759673476049,0.4304801325510696,0.5695198674489305
7b,SHOW,0.22050687862502724,1.0597979495878642,0.5656865456235561,0.43431345437644386,0.41100815108740063,0.5889918489125994
7b,SUPPLY,0.5390271908719291,0.9934342028358626,0.6361636528168267,0.36383634718317326,0.4384193405123075,0.5615806594876925
7b,DESIGN,0.8178956346407747,0.9486818947906903,0.6214508443028345,0.37854915569716546,0.41948499212324036,0.5805150078767597
7b,TAKE,0.6924079264430341,0.9697331712314169,0.6755848442231654,0.32441515577683455,0.44684726749261583,0.5531527325073842
7b,FEED,0.2896466667844087,1.0378423030243091,0.5837730680421759,0.416226931957824,0.4065381117249665,0.5934618882750334
7b,BUY,0.3681138042154035,1.0214650614562477,0.6026094061914727,0.39739059380852715,0.39977606469979665,0.6002239353002033
7b,CATCH,0.60801397343785,0.9862471799827365,0.6814827187415299,0.3185172812584701,0.37492842050604913,0.6250715794939509
7b,DELIVER,0.29060292108843966,1.0305865739470779,0.6218666775395154,0.3781333224604845,0.4046864484742631,0.595313551525737
7b,THROW,0.3964406215167054,1.0173808957333088,0.6323645683814413,0.3676354316185587,0.41818756115705735,0.5818124388429425
7b,PROMISE,0.1663454939773583,1.0673129770040914,0.5767378226173663,0.42326217738263383,0.41082204814463413,0.5891779518553658
7b-chat,BRING,0.41936399924032763,1.023786345446247,0.6319691723057682,0.36803082769423173,0.4424703573875697,0.5575296426124304
7b-chat,DRAW,0.6555218958579766,0.9806159838238224,0.6577651329012939,0.342234867098706,0.38698222808642957,0.6130177719135704
7b-chat,FIND,0.5356060247994038,0.9993545263933175,0.6408378790882403,0.35916212091175964,0.3840132289564811,0.6159867710435188
7b-chat,GET,0.40892474300366516,1.0173876136650224,0.6440577706534176,0.35594222934658243,0.39823211132279657,0.6017678886772035
7b-chat,GIVE,0.3124544218985673,1.0506164037978694,0.5738480279807525,0.42615197201924754,0.4152118713098031,0.5847881286901969
7b-chat,KEEP,0.6475292132075339,0.9804242228719696,0.6627290548637056,0.3372709451362944,0.40239990267094566,0.5976000973290543
7b-chat,LEAVE,0.5737911464727946,0.990733427806421,0.6350774283983731,0.3649225716016269,0.3962534878287597,0.6037465121712404
7b-chat,MAKE,0.6286254187009906,0.9824659975536173,0.5968679110592161,0.4031320889407839,0.3977824437360367,0.6022175562639632
7b-chat,PURCHASE,0.7609884273172144,0.9600735732496462,0.6146954411634998,0.3853045588365001,0.4147497684153813,0.5852502315846186
7b-chat,SAVE,0.5332753993695959,0.9953259171636243,0.6194114950099833,0.38058850499001673,0.3936009065603722,0.6063990934396277
7b-chat,SELL,0.4615910754550693,1.0149522567363294,0.5896896351861122,0.4103103648138878,0.4047819881561726,0.5952180118438274
7b-chat,SEND,0.5104238715712937,1.001869103601692,0.6193760586034187,0.3806239413965813,0.4311163774828175,0.5688836225171824
7b-chat,SHOW,0.2244424382918702,1.053146953240971,0.5766489792443772,0.42335102075562286,0.4196099442438798,0.5803900557561203
7b-chat,SUPPLY,0.69651410797631,0.9673149189767788,0.6198391123316077,0.3801608876683923,0.42599288650701134,0.5740071134929887
7b-chat,DESIGN,0.7767128294211185,0.9577156945374575,0.6066146340528825,0.3933853659471175,0.4121338938103815,0.5878661061896184
7b-chat,TAKE,0.7144846465117625,0.9659187615761832,0.6883408682680681,0.3116591317319319,0.4418763188580749,0.558123681141925
