size,pronoun,prime_verb,pd_bias,pd_bias_ratio,target_verb,DO-DO,DO-PD,PD-DO,PD-PD
7b,True,BRING,0.19605395057845743,1.0603696173602368,DRAW,0.768171776810395,0.23182822318960508,0.5883922458801694,0.4116077541198306
7b,True,BRING,0.19605395057845743,1.0603696173602368,FIND,0.8525139121147667,0.14748608788523326,0.7113217396041784,0.28867826039582156
7b,True,BRING,0.19605395057845743,1.0603696173602368,GET,0.8841885474970058,0.11581145250299402,0.7771066462289754,0.22289335377102468
7b,True,BRING,0.19605395057845743,1.0603696173602368,GIVE,0.9810196831386895,0.018980316861310468,0.9187105759542908,0.08128942404570916
7b,True,BRING,0.19605395057845743,1.0603696173602368,KEEP,0.5348068351744929,0.465193164825507,0.3720224517278936,0.6279775482721063
7b,True,BRING,0.19605395057845743,1.0603696173602368,LEAVE,0.6982953126956195,0.3017046873043805,0.5803111280210708,0.4196888719789292
7b,True,BRING,0.19605395057845743,1.0603696173602368,MAKE,0.6238822245695499,0.3761177754304501,0.48159457378160475,0.5184054262183952
7b,True,BRING,0.19605395057845743,1.0603696173602368,PURCHASE,0.5149218859119609,0.4850781140880392,0.3380576411232554,0.6619423588767446
7b,True,BRING,0.19605395057845743,1.0603696173602368,SAVE,0.7596674168727163,0.24033258312728364,0.5993395635759149,0.40066043642408516
7b,True,BRING,0.19605395057845743,1.0603696173602368,SELL,0.9244195499142294,0.07558045008577072,0.7490281951838174,0.25097180481618275
7b,True,BRING,0.19605395057845743,1.0603696173602368,SEND,0.9444715779226045,0.055528422077395334,0.7051868643479241,0.29481313565207595
7b,True,BRING,0.19605395057845743,1.0603696173602368,SHOW,0.9796977380779393,0.02030226192206066,0.9150055416020751,0.08499445839792501
7b,True,BRING,0.19605395057845743,1.0603696173602368,SUPPLY,0.9168377657423783,0.08316223425762168,0.715543017126502,0.28445698287349797
7b,True,BRING,0.19605395057845743,1.0603696173602368,DESIGN,0.2786102458263252,0.7213897541736748,0.1748430238452564,0.8251569761547437
7b,True,BRING,0.19605395057845743,1.0603696173602368,TAKE,0.8006848433191034,0.19931515668089655,0.35886393866416955,0.6411360613358306
7b,True,BRING,0.19605395057845743,1.0603696173602368,FEED,0.9327397749102795,0.0672602250897205,0.7952314253314056,0.20476857466859436
