size,pronoun,prime_verb,pd_bias,pd_bias_ratio,DO-DO,DO-PD,PD-DO,PD-PD
7b,True,BRING,0.19605395057845743,1.0603696173602368,0.7898458119039669,0.21015418809603315,0.6339167567965215,0.3660832432034785
7b,True,DRAW,0.5699095793683993,0.9914267494885737,0.8165853567663361,0.18341464323366374,0.6080562460362288,0.39194375396377124
7b,True,FIND,0.3697228134790376,1.0212030507303185,0.8070214597044953,0.1929785402955047,0.6035530194242383,0.3964469805757617
7b,True,GET,0.25069813940253105,1.0409611632561877,0.815495051042494,0.18450494895750602,0.6202388459045904,0.3797611540954097
7b,True,GIVE,0.06198576137572819,1.0992173173766249,0.7732524912413167,0.22674750875868346,0.5949799648292,0.4050200351707999
7b,True,KEEP,0.6282323492531793,0.9818909276390382,0.839501352844059,0.16049864715594087,0.6224952911837152,0.3775047088162849
7b,True,LEAVE,0.4192103590770122,1.0120034520237096,0.8046821932766349,0.19531780672336496,0.6355113054058421,0.364488694594158
7b,True,MAKE,0.3604316972604478,1.0228133303876839,0.8129401884555021,0.187059811544498,0.6079742466809626,0.39202575331903744
7b,True,PURCHASE,0.70845658180623,0.9716287157051707,0.8007238862407335,0.19927611375926654,0.6259233559643768,0.37407664403562313
7b,True,SAVE,0.43006896887657,1.0095068344437088,0.7905752174192899,0.2094247825807102,0.6142219608032459,0.38577803919675413
7b,True,SELL,0.21573875711882803,1.0468815563333023,0.7941234698115635,0.20587653018843644,0.6163856918640365,0.3836143081359636
7b,True,SEND,0.14966703552921484,1.0628703192156475,0.7838068540840344,0.21619314591596556,0.6315536820884243,0.3684463179115756
7b,True,SHOW,0.04571306455940565,1.0974727948356706,0.7508752786479315,0.24912472135206865,0.5971802938487865,0.4028197061512136
7b,True,SUPPLY,0.3170289003823692,1.022398253140837,0.8004953204472087,0.1995046795527913,0.6329124634948865,0.36708753650511355
7b,True,DESIGN,0.7442089082264025,0.9626423426129718,0.8265445800220992,0.17345541997790076,0.6308736257943799,0.3691263742056201
7b,True,TAKE,0.5828636671677683,0.9897216750337258,0.8284339561547014,0.17156604384529844,0.6429560154221777,0.3570439845778222
7b,True,FEED,0.14252690805345705,1.0636732748801847,0.778180690251271,0.22181930974872907,0.6103892067113318,0.38961079328866816
7b,True,BUY,0.3351764333998525,1.027785975019155,0.7968648670876072,0.20313513291239282,0.6033507853020953,0.39664921469790476
7b,True,CATCH,0.5256336023110012,0.9956759538035017,0.8415440707535013,0.15845592924649876,0.5765932974853314,0.42340670251466855
7b,True,DELIVER,0.22295649169387824,1.0411048147979323,0.7969836617651912,0.20301633823480875,0.6049644308230275,0.39503556917697247
