size,prime_verb,pd_bias,pd_bias_ratio,target_verb,DO-DO,DO-PD,PD-DO,PD-PD
7b,BRING,0.3994484524469009,1.0244739307708295,DRAW,0.5583122936930129,0.441687706306987,0.39094329239848263,0.6090567076015173
7b,BRING,0.3994484524469009,1.0244739307708295,FIND,0.6633779637792394,0.3366220362207606,0.5008942941332016,0.4991057058667983
7b,BRING,0.3994484524469009,1.0244739307708295,GET,0.7208330223527168,0.27916697764728304,0.5315340126161847,0.4684659873838153
7b,BRING,0.3994484524469009,1.0244739307708295,GIVE,0.7426619124099757,0.25733808759002436,0.5951405102368956,0.4048594897631043
7b,BRING,0.3994484524469009,1.0244739307708295,KEEP,0.47627504417699124,0.5237249558230088,0.31052981438419935,0.6894701856158006
7b,BRING,0.3994484524469009,1.0244739307708295,LEAVE,0.5656968956632842,0.4343031043367159,0.4071653633811168,0.5928346366188832
7b,BRING,0.3994484524469009,1.0244739307708295,MAKE,0.5112955175371124,0.4887044824628876,0.35690247403764486,0.6430975259623551
7b,BRING,0.3994484524469009,1.0244739307708295,PURCHASE,0.4298923880008688,0.5701076119991312,0.23624737929572845,0.7637526207042715
7b,BRING,0.3994484524469009,1.0244739307708295,SAVE,0.6251739345812976,0.37482606541870245,0.44714065338581294,0.5528593466141871
7b,BRING,0.3994484524469009,1.0244739307708295,SELL,0.6509191666211447,0.3490808333788553,0.44677384552884747,0.5532261544711525
7b,BRING,0.3994484524469009,1.0244739307708295,SEND,0.6723455101539542,0.3276544898460459,0.3937454703222775,0.6062545296777224
7b,BRING,0.3994484524469009,1.0244739307708295,SHOW,0.8108547491298297,0.18914525087017026,0.6481382647007348,0.3518617352992651
7b,BRING,0.3994484524469009,1.0244739307708295,SUPPLY,0.6944769510536614,0.3055230489463387,0.41460111153371915,0.5853988884662809
7b,BRING,0.3994484524469009,1.0244739307708295,DESIGN,0.20005226788904934,0.7999477321109506,0.11238600675105087,0.8876139932489491
7b,BRING,0.3994484524469009,1.0244739307708295,TAKE,0.527059753500772,0.4729402464992279,0.2046237571268687,0.7953762428731314
7b,BRING,0.3994484524469009,1.0244739307708295,FEED,0.761310971793817,0.238689028206183,0.5746295426503392,0.42537045734966084
7b,BRING,0.3994484524469009,1.0244739307708295,BUY,0.739700356992073,0.260299643007927,0.5412862255820383,0.4587137744179617
7b,BRING,0.3994484524469009,1.0244739307708295,CATCH,0.5028675432929692,0.49713245670703077,0.35042064611862883,0.6495793538813711
7b,BRING,0.3994484524469009,1.0244739307708295,DELIVER,0.8329612397075369,0.1670387602924632,0.6454804447310178,0.35451955526898227
7b,BRING,0.3994484524469009,1.0244739307708295,THROW,0.6516686460252015,0.34833135397479864,0.41801899705171763,0.5819810029482824
7b,BRING,0.3994484524469009,1.0244739307708295,PROMISE,0.822374146901042,0.17762585309895787,0.6937519200818586,0.30624807991814135
7b,DRAW,0.6512443839243941,0.9806783726545603,BRING,0.6421330211402144,0.3578669788597855,0.5241487030442292,0.47585129695577083
7b,DRAW,0.6512443839243941,0.9806783726545603,FIND,0.6731891022942156,0.3268108977057843,0.33381970025355273,0.6661802997464471
7b,DRAW,0.6512443839243941,0.9806783726545603,GET,0.7293707662269907,0.27062923377300946,0.3968595601064213,0.6031404398935787
7b,DRAW,0.6512443839243941,0.9806783726545603,GIVE,0.7314796900701568,0.2685203099298434,0.5972987968769354,0.4027012031230646
7b,DRAW,0.6512443839243941,0.9806783726545603,KEEP,0.5793749405844829,0.42062505941551703,0.2108733814143998,0.7891266185856003
7b,DRAW,0.6512443839243941,0.9806783726545603,LEAVE,0.5630962652614964,0.4369037347385036,0.30321062823952544,0.6967893717604745
7b,DRAW,0.6512443839243941,0.9806783726545603,MAKE,0.6016367813559187,0.3983632186440812,0.21969954670945857,0.7803004532905414
7b,DRAW,0.6512443839243941,0.9806783726545603,PURCHASE,0.46630183354876564,0.5336981664512344,0.1819814023735422,0.8180185976264579
7b,DRAW,0.6512443839243941,0.9806783726545603,SAVE,0.6720220985456554,0.32797790145434463,0.31794988618839976,0.6820501138116003
7b,DRAW,0.6512443839243941,0.9806783726545603,SELL,0.6011495692563703,0.3988504307436297,0.4773886769472421,0.5226113230527579
7b,DRAW,0.6512443839243941,0.9806783726545603,SEND,0.6568849286951,0.3431150713049,0.5177795870138635,0.4822204129861365
7b,DRAW,0.6512443839243941,0.9806783726545603,SHOW,0.7842068285848888,0.21579317141511134,0.6790083866317609,0.3209916133682391
7b,DRAW,0.6512443839243941,0.9806783726545603,SUPPLY,0.6941708772836239,0.3058291227163762,0.46751040598405014,0.5324895940159499
7b,DRAW,0.6512443839243941,0.9806783726545603,DESIGN,0.3163801644536605,0.6836198355463395,0.05826079068833373,0.9417392093116662
7b,DRAW,0.6512443839243941,0.9806783726545603,TAKE,0.5453715861244866,0.45462841387551345,0.2844415657655213,0.7155584342344787
7b,DRAW,0.6512443839243941,0.9806783726545603,FEED,0.7719518487014686,0.22804815129853145,0.6271515231644693,0.3728484768355307
7b,DRAW,0.6512443839243941,0.9806783726545603,BUY,0.7038451322632078,0.29615486773679217,0.40332993616230584,0.5966700638376943
7b,DRAW,0.6512443839243941,0.9806783726545603,CATCH,0.6487586377013453,0.3512413622986547,0.20526163448760795,0.7947383655123921
7b,DRAW,0.6512443839243941,0.9806783726545603,DELIVER,0.8464091231575749,0.15359087684242517,0.4513592925491453,0.5486407074508547
7b,DRAW,0.6512443839243941,0.9806783726545603,THROW,0.6762853949865318,0.32371460501346816,0.4777348411212368,0.5222651588787631
7b,DRAW,0.6512443839243941,0.9806783726545603,PROMISE,0.8281956786249915,0.1718043213750086,0.713090215957118,0.28690978404288203
7b,FIND,0.45679088949780566,1.0089707675003374,BRING,0.6385502430581054,0.3614497569418947,0.5115222713781697,0.48847772862183014
7b,FIND,0.45679088949780566,1.0089707675003374,DRAW,0.5595867265245397,0.4404132734754603,0.24839610566238984,0.7516038943376101
7b,FIND,0.45679088949780566,1.0089707675003374,GET,0.7302552770236058,0.26974472297639424,0.3364281125491195,0.6635718874508805
7b,FIND,0.45679088949780566,1.0089707675003374,GIVE,0.7517732329895184,0.2482267670104816,0.6161710800306426,0.3838289199693575
7b,FIND,0.45679088949780566,1.0089707675003374,KEEP,0.571435459151432,0.4285645408485681,0.16421813717431147,0.8357818628256886
7b,FIND,0.45679088949780566,1.0089707675003374,LEAVE,0.6056516538956362,0.3943483461043638,0.2942166447087289,0.7057833552912711
7b,FIND,0.45679088949780566,1.0089707675003374,MAKE,0.5588358134752989,0.4411641865247012,0.2134457623173846,0.7865542376826152
7b,FIND,0.45679088949780566,1.0089707675003374,PURCHASE,0.45559512039620065,0.5444048796037994,0.15991090723259904,0.8400890927674008
7b,FIND,0.45679088949780566,1.0089707675003374,SAVE,0.7457219711540506,0.2542780288459493,0.35711320531929125,0.6428867946807089
7b,FIND,0.45679088949780566,1.0089707675003374,SELL,0.6543437402728379,0.3456562597271621,0.5118170925587515,0.4881829074412486
7b,FIND,0.45679088949780566,1.0089707675003374,SEND,0.6752214763296022,0.32477852367039795,0.5211079710898378,0.47889202891016225
7b,FIND,0.45679088949780566,1.0089707675003374,SHOW,0.7949644100559139,0.20503558994408608,0.6722664158850571,0.32773358411494286
7b,FIND,0.45679088949780566,1.0089707675003374,SUPPLY,0.7133449280212409,0.286655071978759,0.4967728690711708,0.5032271309288292
7b,FIND,0.45679088949780566,1.0089707675003374,DESIGN,0.27028828407372035,0.7297117159262797,0.06255194846419582,0.9374480515358041
7b,FIND,0.45679088949780566,1.0089707675003374,TAKE,0.5031273134779304,0.49687268652206973,0.2803544633032234,0.7196455366967767
7b,FIND,0.45679088949780566,1.0089707675003374,FEED,0.7914359641976509,0.20856403580234914,0.6644773624290948,0.33552263757090506
7b,FIND,0.45679088949780566,1.0089707675003374,BUY,0.7203310850969024,0.27966891490309775,0.42103390181722716,0.5789660981827729
7b,FIND,0.45679088949780566,1.0089707675003374,CATCH,0.69331704478457,0.30668295521542993,0.20440956719703046,0.7955904328029696
7b,FIND,0.45679088949780566,1.0089707675003374,DELIVER,0.82736828399241,0.17263171600759006,0.41311644435531897,0.586883555644681
7b,FIND,0.45679088949780566,1.0089707675003374,THROW,0.6923327726951972,0.3076672273048029,0.5317844867283393,0.46821551327166056
7b,FIND,0.45679088949780566,1.0089707675003374,PROMISE,0.8294289781103277,0.17057102188967233,0.7084170700728066,0.2915829299271934
7b,GET,0.3560184291290963,1.0252878515863242,BRING,0.6736290228840096,0.3263709771159904,0.5404325292730475,0.45956747072695253
7b,GET,0.3560184291290963,1.0252878515863242,DRAW,0.6019662276644534,0.39803377233554665,0.31711203997582116,0.6828879600241788
7b,GET,0.3560184291290963,1.0252878515863242,FIND,0.73014736169985,0.26985263830015,0.35882827382435745,0.6411717261756426
7b,GET,0.3560184291290963,1.0252878515863242,GIVE,0.7779722739449473,0.2220277260550528,0.625134353098005,0.37486564690199503
7b,GET,0.3560184291290963,1.0252878515863242,KEEP,0.6077046543882494,0.39229534561175056,0.20254280159705706,0.797457198402943
7b,GET,0.3560184291290963,1.0252878515863242,LEAVE,0.5632736694079962,0.43672633059200394,0.3047270880684198,0.6952729119315803
7b,GET,0.3560184291290963,1.0252878515863242,MAKE,0.6001759123529355,0.3998240876470645,0.2566898336762256,0.7433101663237744
