size,pronoun,target_verb,PD-PD_slope,PD-PD_intercept,DO-PD_slope,DO-PD_intercept,PD-PD_R2,PD-PD_RMSE,DO-PD_R2,DO-PD_RMSE
davinci-002,True,BRING,-0.16600145330283445,0.3352153681451124,0.0502652642805242,0.11342033066941787,0.15947378649834854,0.07322635908208755,0.16716092270994332,0.02155786312691321
davinci-002,True,DRAW,0.11116708479446201,0.5238866072843973,-0.08942883695242053,0.3303107857393488,0.11148103738267168,0.05932885058771538,0.1339952037314197,0.04297837317145682
davinci-002,True,FIND,0.16867511374986255,0.3846876607780887,-0.07490485182373632,0.23621131181756724,0.19932646331818782,0.06472808620969221,0.2478158412707635,0.024986418307250284
davinci-002,True,GET,0.09997109227824397,0.26940269275283496,-0.012003273232178407,0.1391331202245159,0.12544781649425674,0.050787860026154416,0.013034619203548758,0.020096741374641177
davinci-002,True,GIVE,-0.16582743070385703,0.1789998618266701,-0.011644868858484623,0.04519641545375397,0.4033474211388848,0.03744692499911411,0.0816200919642438,0.007252469635847035
davinci-002,True,KEEP,0.10782421340905714,0.5984033514272696,-0.15343761456646773,0.4591973492720057,0.11617914039248944,0.05410965418243036,0.26458685196599396,0.04654294063395744
davinci-002,True,LEAVE,0.03758530071953433,0.41476638028086654,-0.048545641279915064,0.23842276617943742,0.01702554410315238,0.05505875311949362,0.12772567456912165,0.024458251768487933
davinci-002,True,MAKE,0.2288084604373773,0.3537056526283435,-0.047202889561175534,0.24062431460770553,0.362158726546578,0.058609050478622964,0.06964531566777732,0.03329911402005704
davinci-002,True,PURCHASE,0.01177762297438008,0.6566528284791202,-0.1809137783666322,0.48015649294795487,0.0017914990332700276,0.05091989629345905,0.30174269243462526,0.05040673038565674
davinci-002,True,SAVE,0.06497745659878218,0.4729536777519204,-0.09891453877967588,0.3143479054109659,0.061610039948330586,0.04871931434426426,0.17260490926334637,0.041606631544001835
davinci-002,True,SELL,-0.3266334922520738,0.3970803845613117,0.007977842435212866,0.08924787777604636,0.5462192970686892,0.05687259979758936,0.00717090083911931,0.01793241247678071
davinci-002,True,SEND,-0.2433480391454905,0.3463432807337356,0.025759181581366013,0.09735483540699084,0.32849917545333795,0.06576187147787857,0.15601191781473334,0.011324303739574906
davinci-002,True,SHOW,-0.11793674397231504,0.11467154999469135,0.01844093304614404,0.017324572024152933,0.34189489330151523,0.030001914930892857,0.2438275249987817,0.005954570982336323
davinci-002,True,SUPPLY,-0.30204282463923865,0.3779094864596146,0.004605435994116137,0.08450075604578684,0.3108079806820263,0.08596171624849588,0.00267696985504029,0.016989455104072564
davinci-002,True,DESIGN,0.09614402741835526,0.7598452181947659,-0.1435973797828249,0.6041512186423101,0.11511358182499176,0.04507726967687261,0.14052616774380877,0.06005360109446974
davinci-002,True,TAKE,-0.2249495201842049,0.6452865207672247,-0.10842924691974828,0.3921904764318767,0.3971673671753292,0.05084083835425217,0.1719232485707759,0.04365464564632982
davinci-002,True,FEED,-0.26761296906577675,0.2832011715997052,-0.035201813436138124,0.08132814766863998,0.44894648627339195,0.05552439398064978,0.10669694562313059,0.01907504292735626
davinci-002,True,BUY,0.08270041426189556,0.28913296829628826,-0.035190028912947875,0.1337789575640447,0.0851990857079894,0.0522535055744185,0.04948276903881299,0.02973956023241487
davinci-002,True,CATCH,0.27408488859559893,0.3766742438569791,-0.11934734450449763,0.29666645510962586,0.2767639168592312,0.08533239798719608,0.2789204336377411,0.03695793852460203
davinci-002,True,DELIVER,0.2460671588692068,0.18634404531685184,0.028351399092288208,0.08734438722770299,0.3266738521404119,0.06768363895075462,0.07262615463510502,0.019410194362882625
davinci-002,True,THROW,-0.2643215039156621,0.4370973540330585,0.013757018566219446,0.16375133720494014,0.3717674323481507,0.06630330576306528,0.010879550259527582,0.025311715215084008
davinci-002,True,PROMISE,-0.20220558247026116,0.18639823967679525,0.010596672151391137,0.03681549435413104,0.41551173425808663,0.0441386783940067,0.0978146860421022,0.005923048298955907
davinci-002,False,BRING,0.021754127068743377,0.8445313448646861,-0.027179546166131885,0.6521454309471038,0.005956893998289581,0.04055343090620113,0.00759471224743935,0.04483574001816416
davinci-002,False,DRAW,-0.04528059073554637,0.9404743671432994,-0.206819573743225,0.8042217633810884,0.03430274665188393,0.03495762033309887,0.1480083839239823,0.07220044394601409
davinci-002,False,FIND,-0.10592164936585703,0.8494764970370644,-0.15504561832702157,0.5077893728011741,0.02746533538187812,0.09137714419898534,0.19204252027953717,0.04610497663644645
davinci-002,False,GET,0.008016347658335487,0.7993998867441663,-0.04719427621077698,0.4873463619682331,0.0003394048063302124,0.06308200716157054,0.01729446936384671,0.05158329455400697
davinci-002,False,GIVE,0.033444249680776104,0.731530773462496,-0.005965714212523515,0.5333515974139542,0.02116195935229992,0.03294129909919102,0.0009227405619806062,0.02842915552817171
davinci-002,False,KEEP,-0.1388521059610888,0.9822787336919997,-0.20035934202938283,0.7368063262806137,0.1843331886205446,0.04201280407009677,0.09234313149297502,0.09035302904309496
davinci-002,False,LEAVE,-0.09289138702542436,0.8828124328439096,-0.19531067238372674,0.6592596466043523,0.0740017804169868,0.04807286067792622,0.24864112116285286,0.04967109523158702
davinci-002,False,MAKE,-0.011479282796649972,0.7769499214755275,-0.07416769828718472,0.57046367441736,0.00037837877078561455,0.08637241238419936,0.034758690553306604,0.0572146048603257
davinci-002,False,PURCHASE,-0.08771319312471362,0.938220060747481,-0.2246185733733628,0.763621754913526,0.12984870867346265,0.03246932749425425,0.15144076867094636,0.07603177830198736
davinci-002,False,SAVE,-0.05108068668811991,0.8497699906008738,-0.15285073218872677,0.5807883059296677,0.013007783655033966,0.06509154125476505,0.09143885218815584,0.07048421025228095
davinci-002,False,SELL,-0.02890208227374016,0.9155233557021666,0.09542850952451122,0.6195581542607744,0.02537139743849659,0.02536363150043549,0.11696098858803716,0.03712637018154874
davinci-002,False,SEND,0.008132789588840906,0.8594944907677198,-0.06237018007015264,0.7094058707616343,0.001503184761114329,0.030265776365181445,0.044136642273547855,0.04191026257836263
davinci-002,False,SHOW,0.058053825313111714,0.6860840754015719,0.00821079356821098,0.43871640564746817,0.024116613045026436,0.05310630406277917,0.0010948533734561616,0.03566512163210061
davinci-002,False,SUPPLY,-0.006248346581348414,0.8841539158928855,-0.015219104461842489,0.576003601794265,0.00044128320835012946,0.042867225174691416,0.0019509535560618962,0.04961995677319761
davinci-002,False,DESIGN,-0.05013187110640751,0.9744378023630361,-0.18022218632908585,0.8616348156489546,0.08856563289364605,0.021937680646068464,0.13828624625019925,0.0613687084089754
davinci-002,False,TAKE,-0.014682459178744202,0.9409902100883193,-0.17787708886987688,0.8621064346696159,0.010991197115177265,0.01930304389361222,0.09953280267025477,0.07415155465104976
davinci-002,False,FEED,-0.029054954223115666,0.6744644264549277,-0.0585332912167285,0.4158119456887325,0.004144618366898056,0.06268995746085104,0.02631521296546424,0.04955992129794141
davinci-002,False,BUY,-0.09661822160291209,0.7743840940205194,-0.1744860722599338,0.5247745432190701,0.041695429174258614,0.06461378334036208,0.16097871586293333,0.05556759522667822
davinci-002,False,CATCH,-0.14018993833643575,0.873979956152785,-0.3162963024877171,0.6277409436733098,0.046909748766254866,0.0921502782108033,0.2147811875117377,0.08819331949623775
davinci-002,False,DELIVER,-0.0272379348119477,0.702408966026929,-0.07908222406549485,0.37215596067573414,0.0009451262034103625,0.12425834872065984,0.04492766206965515,0.051161318771055266
davinci-002,False,THROW,0.005325930488090534,0.8440753772457238,-0.07812514338620562,0.7025655835539176,0.00022714504852883177,0.051246274423243386,0.08815063575971416,0.036442437987457554
davinci-002,False,PROMISE,0.034150809711375185,0.5764159090084299,0.05761601014663849,0.2791160070363378,0.006248839511425963,0.05717280600193463,0.041217471536377226,0.03689027785377371
