size,pronoun,squared,prime_verb,pd_bias,pd_bias_ratio,DO-DO,DO-PD,PD-DO,PD-PD
small,True,True,BRING,0.2618125020951981,1.036387191293022,0.7584826157179064,0.24151738428209346,0.5640275873704559,0.43597241262954417
small,True,True,DRAW,0.3427671430654057,1.021131084364642,0.8008496129609994,0.19915038703900056,0.5313450899838169,0.46865491001618304
small,True,True,FIND,0.31942051065689214,1.026433148654292,0.7800729175944527,0.21992708240554731,0.4809048882254568,0.5190951117745433
small,True,True,GET,0.1741859568049255,1.0552696050498336,0.7439096253236591,0.2560903746763408,0.5002494613966322,0.4997505386033678
small,True,True,GIVE,0.034061617263652394,1.1210270764744354,0.6942810204671107,0.3057189795328893,0.48867711789228774,0.5113228821077123
small,True,True,KEEP,0.6443806073712051,0.9794633501243566,0.8160778883868991,0.183922111613101,0.5337629340787052,0.46623706592129477
small,True,True,LEAVE,0.20022368580206035,1.0471783255183094,0.7590593999489142,0.2409406000510857,0.5024385692598304,0.4975614307401695
small,True,True,MAKE,0.4043248775276502,1.0175486605874466,0.7585772758143019,0.2414227241856981,0.5138481217494274,0.4861518782505727
small,True,True,PURCHASE,0.5367373011076582,0.9956207766886849,0.7712763225839043,0.22872367741609564,0.5186780393930248,0.48132196060697524
small,True,True,SAVE,0.5490080969406451,0.9943478857264793,0.7989673478788553,0.20103265212114474,0.5279705392592752,0.47202946074072466
small,True,True,SELL,0.10312902835662827,1.0718935978733455,0.72662171017617,0.27337828982382995,0.5317032203440882,0.4682967796559118
small,True,True,SEND,0.15786160484590958,1.0599497582289434,0.7470245945750722,0.25297540542492797,0.5344767914138389,0.46552320858616125
small,True,True,SHOW,0.03196692852242077,1.1070915294530004,0.7224516504508044,0.27754834954919577,0.48088869065820183,0.5191113093417982
small,True,True,SUPPLY,0.29094308477384767,1.0277356259454846,0.7779564597373742,0.22204354026262593,0.5348775696802643,0.46512243031973566
small,True,True,DESIGN,0.7382293591564922,0.9617931499368885,0.8071648172242674,0.19283518277573256,0.5462253276788658,0.4537746723211342
small,True,True,TAKE,0.758412850722923,0.9646205591488735,0.816969099004315,0.18303090099568495,0.5819267280516575,0.4180732719483426
small,True,True,FEED,0.04128090274688525,1.0965060656608896,0.738350195426408,0.261649804573592,0.5145126883831593,0.4854873116168407
small,True,True,BUY,0.2738046781148612,1.039719884267216,0.7340610371784753,0.2659389628215248,0.49897227910042463,0.5010277208995754
small,True,True,CATCH,0.4048379304903059,1.0139373394766116,0.8054560237341688,0.19454397626583117,0.5118999787379611,0.48810002126203905
small,True,True,DELIVER,0.2193488316159187,1.0445654439220866,0.760281471115136,0.23971852888486395,0.5334231981834168,0.4665768018165832
small,True,True,THROW,0.28154102144920695,1.0294892693738782,0.77951200534561,0.22048799465438992,0.5721569512692167,0.42784304873078327
small,True,True,PROMISE,0.05389717466140931,1.0865367680293303,0.7337334455292194,0.26626655447078074,0.537845914318487,0.46215408568151295
small,True,False,BRING,0.2618125020951981,1.036387191293022,0.7637922687469336,0.23620773125306657,0.5991183576090768,0.40088164239092317
small,True,False,DRAW,0.3427671430654057,1.021131084364642,0.7929454423147444,0.2070545576852556,0.5665847948237666,0.4334152051762334
small,True,False,FIND,0.31942051065689214,1.026433148654292,0.7813376246988737,0.21866237530112623,0.525571484158491,0.474428515841509
small,True,False,GET,0.1741859568049255,1.0552696050498336,0.7515060158653538,0.24849398413464632,0.5410928700807599,0.45890712991924015
small,True,False,GIVE,0.034061617263652394,1.1210270764744354,0.7097010218897929,0.2902989781102071,0.533773048156521,0.46622695184347895
small,True,False,KEEP,0.6443806073712051,0.9794633501243566,0.8192250496234794,0.18077495037652064,0.5701114973939714,0.4298885026060287
small,True,False,LEAVE,0.20022368580206035,1.0471783255183094,0.7658713015900708,0.23412869840992934,0.5450813793274918,0.4549186206725082
small,True,False,MAKE,0.4043248775276502,1.0175486605874466,0.7628884517833676,0.23711154821663247,0.5549933961889323,0.44500660381106766
small,True,False,PURCHASE,0.5367373011076582,0.9956207766886849,0.772809378966149,0.227190621033851,0.5541888826909886,0.44581111730901135
small,True,False,SAVE,0.5490080969406451,0.9943478857264793,0.8001741778912366,0.19982582210876346,0.5654395509413774,0.43456044905862257
small,True,False,SELL,0.10312902835662827,1.0718935978733455,0.7350430810354487,0.26495691896455126,0.5670740984880519,0.4329259015119481
small,True,False,SEND,0.15786160484590958,1.0599497582289434,0.7552683886270763,0.24473161137292365,0.5702512948093182,0.4297487051906818
small,True,False,SHOW,0.03196692852242077,1.1070915294530004,0.734654915540217,0.26534508445978305,0.5329732283755503,0.4670267716244497
small,True,False,SUPPLY,0.29094308477384767,1.0277356259454846,0.7759906682905662,0.22400933170943382,0.5708065725741124,0.4291934274258877
small,True,False,DESIGN,0.7382293591564922,0.9617931499368885,0.8026876122524622,0.19731238774753776,0.5836756723897878,0.4163243276102122
small,True,False,TAKE,0.758412850722923,0.9646205591488735,0.8164332667180983,0.1835667332819017,0.6150526679552106,0.3849473320447894
small,True,False,FEED,0.04128090274688525,1.0965060656608896,0.7382401270880546,0.26175987291194547,0.5493339689867872,0.4506660310132129
small,True,False,BUY,0.2738046781148612,1.039719884267216,0.7404516593867747,0.25954834061322535,0.5355834056103145,0.46441659438968536
small,True,False,CATCH,0.4048379304903059,1.0139373394766116,0.8052481024244741,0.19475189757552597,0.5503258817002451,0.4496741182997549
small,True,False,DELIVER,0.2193488316159187,1.0445654439220866,0.7605834318727509,0.23941656812724907,0.5711973110373479,0.4288026889626521
small,True,False,THROW,0.28154102144920695,1.0294892693738782,0.7744882463170154,0.22551175368298465,0.5980319951405116,0.40196800485948836
small,True,False,PROMISE,0.05389717466140931,1.0865367680293303,0.7392022113792832,0.26079778862071684,0.5730461447415761,0.426953855258424
