size,pronoun,squared,prime_verb,pd_bias,pd_bias_ratio,target_verb,DO-DO,DO-PD,PD-DO,PD-PD
small,True,True,BRING,0.2618125020951981,1.036387191293022,DRAW,0.7533906478201462,0.24660935217985383,0.4911634591200681,0.5088365408799319
small,True,True,BRING,0.2618125020951981,1.036387191293022,FIND,0.7895903146565102,0.21040968534348978,0.6107605654269335,0.38923943457306653
small,True,True,BRING,0.2618125020951981,1.036387191293022,GET,0.9017483267220809,0.09825167327791907,0.8307547869324111,0.16924521306758894
small,True,True,BRING,0.2618125020951981,1.036387191293022,GIVE,0.9642695119440623,0.03573048805593751,0.8805546461551341,0.11944535384486567
small,True,True,BRING,0.2618125020951981,1.036387191293022,KEEP,0.4777296375392598,0.5222703624607401,0.2976702320834641,0.702329767916536
small,True,True,BRING,0.2618125020951981,1.036387191293022,LEAVE,0.8918435702427396,0.10815642975726025,0.7969531236856793,0.20304687631432083
small,True,True,BRING,0.2618125020951981,1.036387191293022,MAKE,0.6637973450397453,0.3362026549602547,0.5245529932755233,0.47544700672447676
small,True,True,BRING,0.2618125020951981,1.036387191293022,PURCHASE,0.40709333669290176,0.5929066633070983,0.21278350042179514,0.7872164995782049
small,True,True,BRING,0.2618125020951981,1.036387191293022,SAVE,0.6122089558218192,0.3877910441781808,0.35234161280170584,0.6476583871982942
small,True,True,BRING,0.2618125020951981,1.036387191293022,SELL,0.8849006610697597,0.11509933893024037,0.616954853845206,0.38304514615479396
small,True,True,BRING,0.2618125020951981,1.036387191293022,SEND,0.9376645005254699,0.06233549947453014,0.6920277145284315,0.3079722854715685
small,True,True,BRING,0.2618125020951981,1.036387191293022,SHOW,0.989435570870976,0.010564429129024116,0.9049144170832778,0.0950855829167221
small,True,True,BRING,0.2618125020951981,1.036387191293022,SUPPLY,0.737781934319928,0.26221806568007183,0.28437460852437635,0.7156253914756238
small,True,True,BRING,0.2618125020951981,1.036387191293022,DESIGN,0.22082414803790656,0.7791758519620935,0.14085116847593107,0.8591488315240687
