size,pronoun,prime_verb,pd_bias,pd_bias_ratio,DO-DO,DO-PD,PD-DO,PD-PD
small,True,BRING,0.2618125021092941,1.036387191293022,0.7039900036063561,0.296009996393644,0.6345472799303822,0.3654527200696179
small,True,DRAW,0.3427671430153708,1.021131084364642,0.7350633766549213,0.2649366233450786,0.6325862222643053,0.3674137777356948
small,True,FIND,0.3194205105418487,1.026433148654292,0.7398906131881419,0.2601093868118581,0.6328425617265083,0.3671574382734916
small,True,GET,0.17418595669513656,1.0552696050498336,0.7298095618608548,0.2701904381391453,0.6208050400333969,0.37919495996660313
small,True,GIVE,0.03406161725652732,1.1210270764744354,0.7317559197833032,0.2682440802166968,0.6488675850883995,0.3511324149116006
small,True,KEEP,0.6443806073399786,0.9794633501243566,0.7440404968480961,0.25595950315190374,0.6211171959054911,0.37888280409450886
small,True,LEAVE,0.20022368573527702,1.0471783255183094,0.7407573590711727,0.2592426409288275,0.6412764243605168,0.35872357563948315
small,True,MAKE,0.404324877360909,1.0175486605874466,0.7235210895935521,0.2764789104064479,0.6120170140428939,0.38798298595710623
small,True,PURCHASE,0.5367373010369679,0.9956207766886849,0.7085321827202338,0.2914678172797662,0.5946462455716363,0.4053537544283637
small,True,SAVE,0.5490080968573559,0.9943478857264793,0.7248333426122716,0.27516665738772844,0.6081014811405105,0.3918985188594895
small,True,SELL,0.10312902837434806,1.0718935978733453,0.7231804139258499,0.27681958607415014,0.6198521728767575,0.3801478271232425
small,True,SEND,0.15786160474468588,1.0599497582289434,0.7001345512027639,0.29986544879723603,0.6143686726737364,0.38563132732626354
small,True,SHOW,0.031966928500117286,1.1070915294530004,0.6951815888664388,0.3048184111335612,0.6273291827386048,0.3726708172613952
small,True,SUPPLY,0.2909430845645089,1.0277356259454846,0.7013276544220579,0.29867234557794203,0.6207901175082541,0.3792098824917458
small,True,DESIGN,0.738229359146779,0.9617931499368885,0.718215014551849,0.28178498544815106,0.616327938900323,0.3836720610996771
small,True,TAKE,0.7584128506491201,0.9646205591488735,0.738717421327999,0.2612825786720011,0.6738670095191305,0.3261329904808696
small,True,FEED,0.041280902726059866,1.0965060656608896,0.7476458861863445,0.25235411381365547,0.6325684678696407,0.36743153213035923
small,True,BUY,0.2738046780127692,1.039719884267216,0.7182801007673303,0.28171989923266966,0.5879772738419335,0.41202272615806645
small,True,CATCH,0.4048379303583921,1.0139373394766116,0.7461956236537884,0.2538043763462116,0.634964113234314,0.36503588676568605
small,True,DELIVER,0.2193488314892885,1.0445654439220866,0.7080577647444035,0.2919422352555964,0.6086622662583204,0.39133773374167946
small,True,THROW,0.2815410213273855,1.0294892693738784,0.7029040691059543,0.2970959308940458,0.6163625492867566,0.3836374507132434
small,True,PROMISE,0.053897174635961824,1.0865367680293303,0.7522627948839972,0.24773720511600292,0.6740855305359537,0.32591446946404634
small,False,BRING,0.8180421030757676,0.954050352786475,0.3476859020993696,0.6523140979006304,0.2523024440806059,0.747697555919394
small,False,DRAW,0.834466162849384,0.9509566375967714,0.3407661999119018,0.6592338000880982,0.22962810014692903,0.770371899853071
small,False,FIND,0.8324458939299287,0.9542868698455603,0.34317973429772825,0.6568202657022718,0.23414639194453749,0.7658536080554625
small,False,GET,0.6459250457999601,0.9809269878115138,0.36910334686946555,0.6308966531305346,0.25388627390146057,0.7461137260985395
small,False,GIVE,0.4221938786152354,1.0108883045242674,0.3554254642428981,0.644574535757102,0.2530853358765029,0.7469146641234969
small,False,KEEP,0.8592806401741508,0.9506101498638874,0.3480709697503483,0.6519290302496517,0.22372027477020415,0.7762797252297958
small,False,LEAVE,0.8882106742169796,0.9441367200721986,0.3380025418344524,0.6619974581655477,0.24166115571525495,0.7583388442847451
small,False,MAKE,0.7916990016712436,0.9507428220925993,0.3368317507003761,0.663168249299624,0.23685873495448184,0.763141265045518
small,False,PURCHASE,0.9475316517688369,0.9256440490616462,0.34717927727283093,0.6528207227271691,0.23372197646358223,0.7662780235364177
small,False,SAVE,0.8954584072089445,0.9419733086036101,0.3309126714466374,0.6690873285533626,0.22791718969714306,0.772082810302857
small,False,SELL,0.8577945865093968,0.9468297523013812,0.3458685787195398,0.6541314212804602,0.2556782476487926,0.7443217523512073
small,False,SEND,0.8168025399634502,0.9584771955933826,0.33499167857659984,0.6650083214234002,0.23721303461174578,0.7627869653882542
small,False,SHOW,0.40524495231543267,1.0120141999968062,0.30371392961694527,0.6962860703830549,0.24462768496699694,0.7553723150330031
small,False,SUPPLY,0.8430313353772064,0.9544149386759595,0.3265283904887241,0.6734716095112759,0.22637427830363316,0.7736257216963669
small,False,DESIGN,0.984045524415608,0.8979821079265414,0.2969769597054575,0.7030230402945424,0.23125192919131948,0.7687480708086805
small,False,TAKE,0.9336755605350866,0.9250273165941759,0.38619759385732244,0.6138024061426777,0.2987563949165255,0.7012436050834744
small,False,FEED,0.4162382911945565,1.0101847963646196,0.3405113170905663,0.6594886829094336,0.23964456292718045,0.7603554370728194
small,False,BUY,0.6975931464979067,0.9756430669184085,0.3727621683526994,0.6272378316473006,0.24870110077581395,0.7512988992241861
small,False,CATCH,0.6520611001153366,0.9814441641376629,0.3421898929700903,0.6578101070299098,0.25052473181137264,0.7494752681886273
small,False,DELIVER,0.6572450963985315,0.9812161070959093,0.3309232022476615,0.6690767977523384,0.22673300568207466,0.7732669943179253
small,False,THROW,0.6663332324604864,0.9780619971965417,0.33405037400503784,0.6659496259949622,0.2683904005364104,0.7316095994635896
small,False,PROMISE,0.3389881465624741,1.0204965975088982,0.35913607865638164,0.6408639213436182,0.25370527576381463,0.7462947242361855
medium,True,BRING,0.21235003080066053,1.0577006615718212,0.7556182745262411,0.24438172547375892,0.6714824886338955,0.3285175113661044
medium,True,DRAW,0.3110377891117748,1.0284389871616035,0.7463014978423902,0.25369850215760975,0.6483593880582956,0.35164061194170426
medium,True,FIND,0.22579861265589748,1.0429447704617498,0.7482487364523271,0.25175126354767285,0.6526558729795403,0.34734412702045975
medium,True,GET,0.15413035315667845,1.064853450715441,0.7619474568184069,0.238052543181593,0.6484606694190203,0.3515393305809798
medium,True,GIVE,0.043053159806725055,1.1198633631274557,0.7580068102271307,0.2419931897728693,0.6651529134486759,0.33484708655132406
medium,True,KEEP,0.78679451878893,0.9563118780711708,0.7787375926275109,0.2212624073724892,0.6398892500769983,0.3601107499230017
medium,True,LEAVE,0.19036417479283627,1.0514780998960997,0.7594902919101645,0.24050970808983546,0.6526336253026631,0.34736637469733683
medium,True,MAKE,0.27026990143399654,1.0424720440681177,0.7510756841186155,0.24892431588138456,0.6322461615563704,0.3677538384436297
medium,True,PURCHASE,0.3893043456793291,1.0199657169440826,0.7527767028233527,0.2472232971766474,0.6226370584019951,0.3773629415980048
medium,True,SAVE,0.5005833170904656,1.0022227295988404,0.7444723187326827,0.25552768126731723,0.6495220985394943,0.3504779014605056
medium,True,SELL,0.10409354308210671,1.0799010794281902,0.7521666888820379,0.24783331111796217,0.6358813268420725,0.36411867315792745
medium,True,SEND,0.1021255976778478,1.0830060428856243,0.7358367666495678,0.2641632333504323,0.6558345361069152,0.3441654638930848
medium,True,SHOW,0.036662948706286856,1.126162826629948,0.7188620860144528,0.2811379139855472,0.6674055898860197,0.33259441011398017
medium,True,SUPPLY,0.23725678272833142,1.0358424621015712,0.7141195544176067,0.28588044558239334,0.6452883838608611,0.354711616139139
medium,True,DESIGN,0.6307423646584523,0.9790661303234107,0.7534064460489142,0.24659355395108584,0.6587528594290779,0.341247140570922
medium,True,TAKE,0.7743340834965414,0.9535169143702769,0.7715538324008745,0.2284461675991255,0.7056994473758386,0.29430055262416166
medium,True,FEED,0.03741675244041259,1.1102097723029152,0.7456730114410314,0.2543269885589688,0.6371912680129022,0.36280873198709773
medium,True,BUY,0.14845544230504226,1.0750599944428538,0.7651184700547349,0.23488152994526504,0.6211513047295429,0.37884869527045695
medium,True,CATCH,0.39367117342252983,1.0179069711467301,0.7550039337546889,0.24499606624531106,0.6523749021766588,0.34762509782334117
medium,True,DELIVER,0.10137397138416432,1.0737382801120825,0.7360763674013829,0.263923632598617,0.6271352331321283,0.37286476686787173
medium,True,THROW,0.22707902352442894,1.0447122985806512,0.73284733876703,0.26715266123297,0.6443205453477592,0.35567945465224077
medium,True,PROMISE,0.0781628219574374,1.0956903814264765,0.7905923060131339,0.20940769398686615,0.7154359071127361,0.2845640928872638
medium,False,BRING,0.6772736553886548,0.9751028102221919,0.4578868266093504,0.5421131733906496,0.28839797959042274,0.7116020204095772
medium,False,DRAW,0.7594391429327821,0.9652226144018714,0.4889528373469678,0.5110471626530321,0.27561131570135666,0.7243886842986434
medium,False,FIND,0.7261916702879851,0.970946577900858,0.4366184296020067,0.5633815703979932,0.26874023276858383,0.7312597672314163
medium,False,GET,0.45972697585392724,1.0055601244015515,0.47363177425174185,0.5263682257482581,0.2667902655775883,0.7332097344224117
medium,False,GIVE,0.38352827728716243,1.0162678740071611,0.4272345477286418,0.5727654522713582,0.26017352241211106,0.739826477587889
medium,False,KEEP,0.8354836034925459,0.9540954076641084,0.43582612569858803,0.564173874301412,0.23924591336249548,0.7607540866375044
medium,False,LEAVE,0.7299845176780101,0.9702218089960274,0.4187744207951557,0.5812255792048443,0.26535960997169117,0.7346403900283089
medium,False,MAKE,0.7091944815261343,0.9692224811725562,0.44057641725037644,0.5594235827496234,0.2607841081376698,0.7392158918623303
medium,False,PURCHASE,0.8801344848503395,0.9409211090373271,0.4485446252813508,0.5514553747186491,0.262880644004581,0.737119355995419
medium,False,SAVE,0.7332797311941662,0.967597830740945,0.42832442693979905,0.5716755730602009,0.2615479488228509,0.7384520511771492
medium,False,SELL,0.7634560707670853,0.965418515230277,0.41904359240138644,0.5809564075986134,0.26938956693577004,0.7306104330642299
medium,False,SEND,0.6877104100795874,0.9748454501042686,0.40805813284722026,0.5919418671527797,0.26502020933169024,0.7349797906683097
medium,False,SHOW,0.3487528957683388,1.0190354128870365,0.3834452749145935,0.6165547250854065,0.27708976108707045,0.7229102389129296
medium,False,SUPPLY,0.8310247545331152,0.9561722731847265,0.399283505033318,0.6007164949666819,0.25053424992581697,0.7494657500741829
medium,False,DESIGN,0.9678657743898262,0.9076771402562395,0.4231149709079236,0.5768850290920764,0.2875633041944831,0.7124366958055167
medium,False,TAKE,0.9655343562394998,0.9002459113489133,0.4902162159481488,0.5097837840518512,0.3175364089375643,0.6824635910624357
medium,False,FEED,0.3827553152097018,1.0156066783953712,0.3882534167089379,0.611746583291062,0.24316386218566025,0.7568361378143398
medium,False,BUY,0.5692751271910306,0.9914499399764675,0.4478757807347411,0.5521242192652589,0.26065040939367085,0.7393495906063292
medium,False,CATCH,0.6501178819493016,0.983221928499886,0.42586054379061294,0.5741394562093871,0.26308749885150595,0.736912501148494
medium,False,DELIVER,0.3252360151159416,1.0266244686755313,0.43203916879384296,0.5679608312061573,0.24423658621487437,0.7557634137851256
medium,False,THROW,0.6272231498972801,0.9840051869605894,0.4060862074207218,0.5939137925792781,0.26521831206094904,0.734781687939051
medium,False,PROMISE,0.3669800573365538,1.0162590671557012,0.458823704693359,0.541176295306641,0.29549596703517533,0.7045040329648246
large,True,BRING,0.24224705252547488,1.0480319287958524,0.7640591241584542,0.23594087584154586,0.681811622746689,0.31818837725331084
large,True,DRAW,0.4773779319993056,1.0042266935687125,0.7855130408153954,0.21448695918460467,0.6554808085792259,0.3445191914207741
large,True,FIND,0.2836962930516521,1.0354854347650235,0.775402968937396,0.22459703106260379,0.6558587871137035,0.3441412128862965
large,True,GET,0.20590721284114893,1.0557019394203455,0.7727450278096044,0.2272549721903956,0.6584504355044017,0.3415495644955982
large,True,GIVE,0.047277205452359264,1.1072730456856963,0.7789027105327933,0.2210972894672069,0.678221916731627,0.32177808326837304
large,True,KEEP,0.8237356056770587,0.9493750755133105,0.8211506324635401,0.1788493675364599,0.684514396254214,0.31548560374578605
large,True,LEAVE,0.32700438140697796,1.0290074259948438,0.7648843838749586,0.2351156161250415,0.6665194223258586,0.33348057767414147
large,True,MAKE,0.37507358467641133,1.021541516040902,0.7769811290391476,0.2230188709608523,0.6506533737763922,0.3493466262236078
large,True,PURCHASE,0.5268745593518616,0.9958917403642266,0.7579137257114914,0.24208627428850865,0.6338165612502356,0.3661834387497644
large,True,SAVE,0.5028063995257425,1.000341784381799,0.7436417383800564,0.25635826161994363,0.6387797441034676,0.36122025589653245
